name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
ST. PETER'S HEALTH,270003,2475 East Broadway Street,HELENA,Lewis And Clark County,MONTANA,59601-4928,406/442-2480,"Wade C. Johnson, MS",,"John Green, Vice President Finance","Shelly Harkins, M.D.",,"Karla Smith, Director Human Resources","Cheryl Hunt Esq, Chief Nursing Officer",www.stpetes.org,Other not-for-profit (including NFP Corporation),General medical and surgical,123,1490
GARFIELD COUNTY HEALTH CENTER,271310,332 Leavitt Avenue,JORDAN,Garfield County,MONTANA,59337,406/557-2500,"Paul Claybrook, Chief Executive Officer","Earline Lawrence, Chief Operating Officer","Charlotte Herbold, Manager Business Officer",David M. Kidder,"Charlotte Herbold, Manager Business Officer",,"Sarah Nordlund, Director of Nursing",www.garfieldco.us/garfield-county-health-center.html,"County, Government, Nonfederal",General medical and surgical,32,
LOGAN HEALTH,270051,310 Sunnyview Lane,KALISPELL,Flathead County,MONTANA,59901-3129,406/752-5111,"Kevin Abel, Chief Executive Officer","Ted W Hirsch, Senior Executive Director","Patti Pilgrim, System Chief Financial Officer",Adam Smith,,,"Amy Vanterpool, Vice President",https://www.logan.org/logan-health-medical-center/,Other not-for-profit (including NFP Corporation),General medical and surgical,215,3373
CENTRAL MONTANA MEDICAL CENTER,271345,408 Wendell Avenue,LEWISTOWN,Fergus County,MONTANA,59457-2261,406/535-7711,"Cody Langbehn, Chief Executive Officer",,"Alan Aldrich, Chief Financial Officer",,,"Torie A Lynch, Manager Human Resources","Karen White, Chief Nursing Officer",https://www.cmmc.health/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,241
PROVIDENCE ST. JOSEPH MEDICAL CENTER,271343,6 Thirteenth Avenue  East,POLSON,Lake County,MONTANA,59860-5315,406/883-5377,"Caryl Perdaems, Chief Administrative Officer","Devin Huntley, Chief Operating Officer","Kirk Bodlovic, Vice President and Chief Financial Officer","Kelly Bagnell, M.D.",,,,www.saintjoes.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,22,277
POPLAR COMMUNITY HOSPITAL,271300,211 H Street,POPLAR,Richland County,MONTANA,59255-9519,406/768-6100,"Thomas K. Steiner, Interim Chief Executive Officer",,,,,"Annie Block, Director Human Resources",,www.nemhs.net,Other not-for-profit (including NFP Corporation),General medical and surgical,20,267
BEARTOOTH BILLINGS CLINIC,271326,2525 North Broadway Avenue,RED LODGE,Carbon County,MONTANA,59068-9222,406/446-2345,"Abby Lotz, MSN",,"Kyle Gee, Chief Financial Officer","William George, M.D.",,"Katie Nordstrom, Director Human Resources","Bridgett J. Chartier, Director of Nursing",www.beartoothbillingsclinic.org,Other not-for-profit (including NFP Corporation),General medical and surgical,10,146
ST. LUKE COMMUNITY HEALTHCARE,271325,107 Sixth Avenue SW,RONAN,Lake County,MONTANA,59864-2634,406/676-4441,"Steve J. Todd, Chief Executive Officer",,"Paul Soukup, Chief Financial Officer","Edred T. Vizcarra, M.D.",,"Theresa L. Jones, Manager Human Resources","Leah Emerson, Director of Nursing",www.stlukehealthcare.org,Other not-for-profit (including NFP Corporation),General medical and surgical,103,345
ROUNDUP MEMORIAL HEALTHCARE,271346,1202 Third Street  West,ROUNDUP,Musselshell County,MONTANA,59072-1816,406/323-2301,"Tracy Anderson, Chief Executive Officer",,"Kyle Gee, Regional Vice President Financial Operations","Mark Ward, M.D.",,,"Emily Shoup, Director Nursing Services",www.rmhmt.org/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,
COMMUNITY MEDICAL CENTER,270023,2827 Fort Missoula Road,MISSOULA,Missoula County,MONTANA,59804-7408,406/728-4100,"Greg Cook, Chief Executive Officer","Sandy Leggett, R.N.","Sandee Mahoney, Chief Financial Officer","Bonnie Stephans, M.D.",,,"Hollie Nagel, MSN",www.communitymed.org,"Corporation, Investor-owned (for-profit)",General medical and surgical,135,667
PROVIDENCE ST. PATRICK HOSPITAL,270014,500 West Broadway,MISSOULA,Missoula County,MONTANA,59802-4096,406/543-7271,"William Calhoun, FACHE",,"Kirk Bodlovic, WMSA Chief Financial Officer",,,"Karyn Trainor, Director Human Resources","Carol Bensen, MSN",https://www.providence.org/locations/MT/st-patrick-hospital,"Church operated, Nongovernment, not-for-profit",General medical and surgical,211,1499
GRANITE COUNTY MEDICAL CENTER,271303,310 S Sansome Street,PHILIPSBURG,Granite County,MONTANA,59858,406/859-3271,"Brian Huso, Chief Executive Officer",,"Susan Ossello, Chief Financial Officer","John Moore, M.D.",,,,www.gcmedcenter.org/,"County, Government, Nonfederal",General medical and surgical,25,
CLARK FORK VALLEY HOSPITAL,271323,10 Kruger Road,PLAINS,Sanders County,MONTANA,59859,406/826-4800,"Gregory S. Hanson, M.D.",,"Carla A. Neiman, Chief Financial Officer","Ronald Black, M.D.","Carla A. Neiman, Chief Financial Officer","Barry Fowler, Director Human and System Resources","Lisa Eberhardt, Chief Nursing Officer",www.cfvh.org,Other not-for-profit (including NFP Corporation),General medical and surgical,44,208
SHERIDAN MEMORIAL HOSPITAL,271322,440 West Laurel Avenue,PLENTYWOOD,Sheridan County,MONTANA,59254-1596,406/765-3700,"Kody Nelson, Chief Executive Officer",,,,,"Roxy Kleppen, Director Human Resource",,www.sheridanmemorial.net/,Other not-for-profit (including NFP Corporation),General medical and surgical,19,
MINERAL COMMUNITY HOSPITAL,271331,1208 6th Avenue East,SUPERIOR,Mineral County,MONTANA,59872-9618,406/822-4841,"Laurel Chambers Haskins, Chief Executive Officer",,"Cliff Case, Chief Financial Officer","Roger Pafford, M.D.",,"Stacy Conrow-Ververis, Director Human Resources","Jenifer Mitchell, R.N.",www.mineralcommunityhospital.com/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,75
PRAIRIE COUNTY HOSPITAL DISTRICT,271309,312 South Adams  Avenue,TERRY,Prairie County,MONTANA,59349-0156,406/635-5511,"Megan Kalfell, Chief Executive Officer",,"Mia Amore Talon, Chief Financial Officer",,,,"Susan Morgan, Director of Nursing Services",www.prairiecommunityhospital.org/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,25,47
BILLINGS CLINIC BROADWATER,271333,110 North Oak Street,TOWNSEND,Broadwater County,MONTANA,59644-2306,406/266-3186,"Justin M. Tiffany, Chief Executive Officer",,,"Carol Bridges, M.D.",,"April Campbell, Director Human Resources","Fran Wright, Director of Nursing",https://www.billingsclinic.com/billings-clinic-broadwater/,Other not-for-profit (including NFP Corporation),General medical and surgical,18,83
MONTANA STATE HOSPITAL,274086,100 Garnet Way,WARM SPRINGS,Deer Lodge County,MONTANA,59756-9705,406/693-7000,"Daniel Bemporad, Interim Chief Executive Officer",,"Tracey Thun, Director Business and Support Services","Thomas Gray, M.D.","Melinda Bridgewater, Director","Todd Thun, Director Human Resources","Dave Olson, Director of Nursing",https://dphhs.mt.gov/healthcarefacilities/msh/,,Psychiatric,270,
MOUNTAINVIEW MEDICAL CENTER,271306,16 West Main Street,WHITE SULPHUR SPRINGS,Meagher County,MONTANA,59645-9036,406/547-3321,"Rob Brandt, Chief Executive Officer",,,,,,,www.mvmc.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,48
BLACKFEET COMMUNITY HOSPITAL,270074,760 New Hospital Circle,SAINT MARY,Glacier County,MONTANA,59417-0760,406/338-6100,"Lisa Racine-Wells, Interim Chief Executive Officer",,"Cleo Main, Finance Officer","Neil Sun Rhodes, M.D.",,,"Susan Head, Director Nursing Services",www.ihs.gov,,General medical and surgical,25,
DANIELS MEMORIAL HEALTHCARE CENTER,271342,105 Fifth Avenue East,SCOBEY,Daniels County,MONTANA,59263,406/487-2296,"Kody Brinton, Chief Executive Officer",,,"Don Sawdey, M.D.",,"Edith Huda, Director Human Resources","Kathy Ware, Director of Nursing",www.danielsmemorialhealthcare.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,77
LOGAN HEALTH SHELBY,271328,640 Park Avenue,SHELBY,Toole County,MONTANA,59474-1663,406/434-3200,"Vicki Newmiller, President",,,"Justin Hooker, M.D.","Jayce Yarn, Director Information Technology","Cindy Lamb, Director Human Resources","Crystal Rattler, Director of Nursing",https://www.logan.org/health/locations/logan-health-shelby,Other not-for-profit (including NFP Corporation),General medical and surgical,22,74
RUBY VALLEY MEDICAL CENTER,271319,220 East Crofoot Street,SHERIDAN,Madison County,MONTANA,59749-7714,406/842-5453,"Jim Gillhouse, Chief Executive Officer",,"Dennis Holschbach, Chief Financial Officer","Roman Hendrickson, M.D.",,"Jenny Rohrback, Director Human Resource","Brenda Green, Director of Nursing",www.rubyvalleyhospital.com/,Other not-for-profit (including NFP Corporation),General medical and surgical,5,
SIDNEY HEALTH CENTER,271344,216 14th Avenue SW,SIDNEY,Richland County,MONTANA,59270-3586,406/488-2100,"Jennifer Doty, Chief Executive Officer",,"Tina Montgomery, Chief Financial Officer","Rajohn Karanjai, M.D.","Brian Fay, Director Information Systems","Lisa Aisenbrey, Administrator Human Resources and Support Services",,www.sidneyhealth.org,Other not-for-profit (including NFP Corporation),General medical and surgical,76,494
LOGAN HEALTH – WHITEFISH,271336,1600 Hospital Way,WHITEFISH,Flathead County,MONTANA,59937-7849,406/863-3500,"Kevin Abel, Chief Executive Officer","Christina Bogers, Chief Clinical Officer","David Richhart, Chief Financial Officer","Jason Cohen, M.D.","Michael Barnes, Chief Information Officer","Joseph Schmier, Interim Director Human Resources",,www.nvhosp.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,367
TRINITY HOSPITAL,271341,315 Knapp Street,WOLF POINT,Roosevelt County,MONTANA,59201-1826,406/653-6500,"Thomas K. Steiner, Interim Chief Executive Officer",,,,,,,www.nemhs.net,Other not-for-profit (including NFP Corporation),General medical and surgical,76,267
BROWN COUNTY HOSPITAL,281325,945 East Zero Street,AINSWORTH,Brown County,NEBRASKA,69210-1547,402/387-2800,"Mirya Hallock, Chief Executive Officer",,"Tad Stearns, Chief Financial Officer","Melvin Campbell, M.D.","Mike Depko, Director Information Technology","Lisa Fischer, Director Human Resources","Brandy Bussinger, Director of Nursing",www.browncountyhospital.org,"County, Government, Nonfederal",General medical and surgical,18,
BOONE COUNTY HEALTH CENTER,281334,723 West Fairview  Street,ALBION,Boone County,NEBRASKA,68620-1725,402/395-2191,"Caleb Poore, President and Chief Executive Officer",,"Rita Liss, Vice President Fiscal Services and Chief Financial Officer",,,"Jennifer Beierman, Director Human Resources","Cindy Lesiak, Vice President Patient Care Services and Director of Nursing",www.boonecohealth.org,"County, Government, Nonfederal",General medical and surgical,25,
BOX BUTTE GENERAL HOSPITAL,281360,2101 Box Butte Avenue,ALLIANCE,Box Butte County,NEBRASKA,69301-4445,308/762-6660,"Brian Shelmadine, D.O.","Gabriel Behling, Chief Operations Officer","Michael O'Dell, Chief Financial Officer",Brian Shelmadine,,"Lisa L Hillyer, Human Resources Manager","Erica Lauda, Chief Nursing Officer",www.bbgh.org,"County, Government, Nonfederal",General medical and surgical,25,268
HARLAN COUNTY HEALTH SYSTEM,281300,717 North Brown  Street,ALMA,Harlan County,NEBRASKA,68920-2132,308/928-2151,"Stacy Neubauer, R.N.","Chad Jay, Chief Operating Officer","Heidi Cushing, Chief Financial Officer",Cameron Knackstedt,"Michael Andrews, Coordinator Information Systems","Ana Schluntz, Director of Human Resources",,www.harlancountyhealth.com,"County, Government, Nonfederal",General medical and surgical,19,
WEST HOLT MEDICAL SERVICES,281343,406 West Neely Street,ATKINSON,Holt County,NEBRASKA,68713-4801,402/925-2811,"Jeremy Bauer, Chief Executive Officer",,"Taylor McCormick, Chief Financial Officer","John Tubbs, M.D.","Mark Johnson, Chief Information Officer","Margaret Linse, Administrative Secretary and Director Human Resources","Jennifer Rystrom, R.N.",www.westholtmed.org,Other not-for-profit (including NFP Corporation),General medical and surgical,15,
NEMAHA COUNTY HOSPITAL,281324,2022 13th Street,AUBURN,Nemaha County,NEBRASKA,68305-1799,402/274-4366,"Marty Fattig, Chief Executive Officer","Kermit Moore, R.N.","Stacy Taylor, Chief Financial Officer",,"Kathy McNaughton, Chief Information Officer","Susan Shupp, Chief Human Resources Officer",,www.nchnet.org,"County, Government, Nonfederal",General medical and surgical,16,86
MEMORIAL COMMUNITY HEALTH,281320,1423 Seventh Street,AURORA,Hamilton County,NEBRASKA,68818-1197,402/694-3171,"Justin Wolf, Chief Executive Officer",,"Phil Fendt, Chief Financial Officer",Jeff Muilenburg,"Brad Tiede, Director Information Systems","Laura Teichmeier, Director Human Resources","Lindy Mosel, Director of Nursing",www.memorialcommunityhealth.org,Other not-for-profit (including NFP Corporation),General NE medical and surgical,63,
ROCK COUNTY HOSPITAL,281333,102 East South Street,BASSETT,Rock County,NEBRASKA,68714-5508,402/684-3366,"Stacey A. Knox, Administrator",,,"John Tubbs, M.D.","Cal Alder, Director Information Technology","Jackie Carpenter, Office Manager","Katie Ogier, Director of Nursing",www.rockcountyhospital.com,"County, Government, Nonfederal",General medical and surgical,45,105
BEATRICE COMMUNITY HOSPITAL AND HEALTH CENTER,281364,4800 Hospital Parkway,BEATRICE,Gage County,NEBRASKA,68310-6906,402/228-3344,"Richard Haraldson, CPA",,"Chad Jurgens, Senior Executive","Steven Paulmeyer, M.D.",,"Kathryn G. Humble, Senior Executive","Tasha N. Hesman, R.N.",www.beatricecommunityhospital.com,Other not-for-profit (including NFP Corporation),General medical and surgical,25,482
NEBRASKA MEDICINE – BELLEVUE,280132,2500 Bellevue Medical Center  Drive,BELLEVUE,Sarpy County,NEBRASKA,68123-1591,402/763-3000,"Julie L. Lazure, R.N.",,"Stephanie Daubert, Chief Financial Officer","Jeffrey D. Akerson, M.D.","Brian Lancaster, Executive Director Information Management",,"Ray D. Dial, Director of Nursing",www.nebraskamed.com,Other not-for-profit (including NFP Corporation),General medical and surgical,80,504
DUNDY COUNTY HOSPITAL,281340,1313 North Cheyenne Street,BENKELMAN,Dundy County,NEBRASKA,69021-3074,308/423-2204,"Jeremiah Hanes, Ph.D.","Wendy Elkins, Director Operations","Renee Fink, CPA","Jose Garcia, M.D.","David Craw, Coordinator Information Technology","Sandy Noffsinger, Executive Assistant","Laken Vrbas, R.N.",www.dchbenkelman.com,"County, Government, Nonfederal",General medical and surgical NE,12,
MEMORIAL COMMUNITY HOSPITAL AND HEALTH SYSTEM,281359,810 North 22nd Street,BLAIR,Washington County,NEBRASKA,68008-1199,402/426-2182,"Manuela Banner, FACHE",,"Jennifer Newby, Vice President of Operational Finance and Chief Financial Officer","John F. Simonson, M.D.","Matt Baker, Director of Information Technology","Kristine Nielsen, Manager Human Resources","Amy Zimmer, Vice President of Patient Care Services and Chief Nursing Executive",www.mchhs.org,Other not-for-profit (including NFP Corporation),General medical and surgical,25,265
MORRILL COUNTY COMMUNITY HOSPITAL,281318,1313 'S' Street,BRIDGEPORT,Morrill County,NEBRASKA,69336-0579,308/262-1616,"Robin Stuart, Chief Executive Officer",,"Connie Christensen, Chief Financial Officer","John Post, M.D.","Lori Shengle, Director Information Technology","Rhea Basa, Director Human Resources","Sylvia Marie Lichius, R.N.",www.morrillcountyhospital.com,"Individual, Investor-owned (for-profit)",General medical and surgical,5,200
JENNIE M. MELHAM MEMORIAL MEDICAL CENTER,281365,145 Memorial  Drive,BROKEN BOW,Custer County,NEBRASKA,68822-1378,308/872-4100,"Kyle Kellum, President and Chief Executive Officer",,"Tim Schuckman, Chief Financial Officer",,"Tim Schuckman, Chief Financial Officer","Teri Sell, Payroll and Personnel Coordinator","Nancy J Hicks-Arsenault, R.N.",https://www.melham.org,Other not-for-profit (including NFP Corporation),General medical and surgical,12,
CALLAWAY DISTRICT HOSPITAL,281335,211 East Kimball,CALLAWAY,Custer County,NEBRASKA,68825-2589,308/836-2228,"Brett Eggleston, Chief Executive Officer","Cassie Penn, Chief Operating Officer","Caleb Kelly Poore, Chief Financial Officer",,,"Toni French, Manager Human Resources",,www.callawayhospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,12,
TRI VALLEY HEALTH SYSTEM,281348,1305 West Highway 6 and  34,CAMBRIDGE,Furnas County,NEBRASKA,69022-0488,308/697-3329,"Clay Jordan, R.N.",,"Bethany Marintzer, Chief Financial Officer","Shiuvaun Jaeger, M.D.","Ciprian Galarneau, Director Information Systems","Tammy Claussen, Chief Human Resource Officer",,www.trivalleyhealth.com,Other not-for-profit (including NFP Corporation),General medical and surgical,52,
MERRICK MEDICAL CENTER,281328,2802 28th Street,CENTRAL CITY,Merrick County,NEBRASKA,68826-2707,308/946-3015,"Jodi Mohr, Chief Executive Officer",,,,,"Shauna Graham, Director of Professional Services Human Resources",,https://www.bryanhealth.com,"County, Government, Nonfederal",General medical and surgical,20,
